FARMA SALUD                   ;;;;Informe Emitido por:;;;;;;;
SOC.FARMA CRUCES SALDAÑO                ;;;;  6 NICOLAS              Supervisor;;;;;;;
FARMACIA Rut:76.383.674-6;;;;Fecha 06-09-2026 Hrs. 15:41:40;;;;;;;
COLON 222                          ;;;;;;;;;;;
442888351;;;;;;;;;;;
Maestro de productos ;;;;;;;;;;;
LAB;GRUPO;CODIGO;CODBARRA;DETALLE;COSTO;MARGEN;PRECIO;PCADENA;POFERTA;STOCK;DESCUENTO
ACCESORIOS MEDICOS;;136306;7804647000323;ALCOHOL DESNAT 70% 250CC;820;72.85;1590;0;0;16;Si
ACCESORIOS MEDICOS;;136308;7801000285946;ALCOHOL DESNAT.95% 250ML;767;52.29;1390;0;0;6;Si
ACCESORIOS MEDICOS;PRIMEROS AUXILIOS;136309;7801000206859;ALCOHOL DESNAT.95% 500ML.;1360;56.44;2490;0;0;6;Si
ACCESORIOS MEDICOS;;136397;614143647222;ALCOHOL GEL 70° 60 ML GLORY;580;72.41;1190;0;0;0;Si
ACCESORIOS MEDICOS;;136260;136260;ALCOHOL PAD X 100 TOALLITAS;909;61.41;1890;0;0;3;Si
ACCESORIOS MEDICOS;;136010;80056577;BISTURI C/MANGO N22;222;388.3;1290;0;0;4;Si
ACCESORIOS MEDICOS;;136311;910001;BISTURI.S/MANGO;56;635.29;490;0;0;4;Si
ACCESORIOS MEDICOS;;136144;10038290000000;BRANULA 14;730;36.99;1190;0;0;7;Si
ACCESORIOS MEDICOS;;136312;658325168297;BRANULA 16;300;233.33;1190;0;0;3;Si
ACCESORIOS MEDICOS;;136145;7898909175447;BRANULA 18;485;106.19;1190;0;0;11;Si
ACCESORIOS MEDICOS;;136146;619997;BRANULA 20;484;106.61;1190;0;0;3;Si
ACCESORIOS MEDICOS;;136147;7891463000071;BRANULA 22;490;104.08;1190;0;0;3;Si
ACCESORIOS MEDICOS;;136166;136166;BRANULA 24;489;105.62;1190;0;0;4;Si
ACCESORIOS MEDICOS;;136342;7805005001006;COMPRESA FRIO CALOR X 1 UNID (CLINICAL MARKET);1167;57.7;2190;0;0;0;Si
ACCESORIOS MEDICOS;;136094;136094;CORREAS TIPO ARAÑA PARA TABLA ESPINAL;11745;35.87;18990;0;0;0;Si
